Index,CPU,GPU,RAM
627,9.7,0.0,72.0
628,6.5,0.0,72.0
629,5.7,0.0,72.0
630,10.3,0.0,72.0
631,3.7,0.0,72.0
632,9.1,0.0,72.1
633,9.4,0.0,72.0
634,3.1,0.0,72.0
635,15.6,0.0,72.0
636,4.2,0.0,72.0
637,4.2,0.0,72.1
638,3.1,0.0,72.1
639,9.4,0.0,72.1
640,3.1,0.0,72.0
641,0.0,0.0,72.0
642,0.0,0.0,72.1
643,4.2,0.0,72.0
644,0.0,0.0,72.0
645,4.2,0.0,72.0
646,4.2,0.0,72.0
647,8.3,0.0,72.0
648,8.7,0.0,71.7
649,12.0,0.0,71.5
650,12.5,0.0,71.6
651,8.3,0.0,71.5
652,0.0,0.0,71.5
653,4.2,0.0,71.5
654,0.0,0.0,71.5
655,4.2,0.0,71.5
656,4.0,0.0,71.5
657,0.0,0.0,71.5
658,4.5,0.0,71.5
659,12.0,0.0,71.5
660,11.5,0.0,71.5
661,0.0,0.0,71.5
662,4.2,0.0,71.5
663,8.3,0.0,71.5
664,0.0,0.0,71.5
665,4.2,0.0,71.5
666,0.0,0.0,71.5
667,4.2,0.0,71.5
668,4.2,0.0,71.5
669,0.0,0.0,71.5
670,0.0,0.0,71.5
671,0.0,0.0,71.5
672,8.3,0.0,71.5
673,4.2,0.0,71.5
674,4.2,0.0,71.5
675,0.0,0.0,71.5
676,4.2,0.0,71.5
677,4.2,0.0,71.5
678,0.0,0.0,71.5
679,4.2,0.0,71.5
680,4.2,0.0,71.5
681,0.0,0.0,71.5
682,8.0,0.0,71.5
683,15.0,0.0,71.5
684,0.0,0.0,71.5
685,0.0,0.0,71.5
686,3.8,0.0,71.5
687,8.7,0.0,71.5
688,5.0,0.0,71.5
689,0.0,0.0,71.5
690,4.2,0.0,71.5
691,4.2,0.0,71.5
692,4.2,0.0,71.5
693,4.2,0.0,71.5
694,8.3,0.0,71.5
695,8.3,0.0,71.5
696,8.3,0.0,71.5
697,4.2,0.0,71.5
698,12.5,0.0,71.5
699,4.2,0.0,71.5
700,12.5,0.0,71.5
701,0.0,0.0,71.5
702,0.0,0.0,71.5
703,0.0,0.0,71.5
704,4.2,0.0,71.5
705,6.2,0.0,71.5
706,4.2,0.0,71.5
707,4.3,0.0,71.6
708,16.0,0.0,71.6
709,13.0,0.0,71.7
710,16.0,0.0,71.8
711,4.2,0.0,72.1
712,4.3,0.0,72.7
713,4.0,0.0,73.0
714,9.1,0.0,73.1
715,19.0,0.0,73.2
716,16.7,0.0,73.2
717,18.2,0.0,73.2
718,30.4,0.0,73.2
719,12.5,0.0,73.3
720,12.5,0.0,73.3
721,12.5,0.0,73.3
722,12.5,0.0,73.4
723,12.5,0.0,73.4
724,13.0,0.0,73.4
725,20.0,0.0,73.6
726,4.3,0.0,73.6
727,12.5,0.0,73.6
728,12.5,0.0,73.7
729,20.8,0.0,73.7
730,12.5,0.0,73.7
731,12.5,0.0,73.7
732,16.7,0.0,73.8
733,15.0,0.0,73.8
734,13.6,0.0,73.7
735,8.7,0.0,73.7
736,8.3,0.0,73.7
737,16.7,0.0,73.7
738,8.3,0.0,73.7
739,20.8,0.0,73.7
740,20.8,0.0,73.7
741,8.7,0.0,73.7
742,16.0,0.0,73.8
743,12.5,0.0,73.8
744,16.7,0.0,73.8
745,16.7,0.0,73.8
746,8.3,0.0,73.8
747,12.5,0.0,73.8
748,13.0,0.0,73.8
749,20.8,0.0,73.8
750,25.0,0.0,73.8
751,16.7,0.0,73.8
752,19.0,0.0,73.9
753,25.0,0.0,73.9
754,16.7,0.0,73.9
755,8.3,0.0,73.9
756,8.3,0.0,73.9
757,8.7,0.0,74.0
758,12.5,0.0,74.0
759,12.0,0.0,74.0
760,12.5,0.0,74.0
761,20.8,0.0,74.0
762,16.7,0.0,74.1
763,12.5,0.0,74.0
764,8.7,0.0,74.0
765,15.8,0.0,74.0
766,12.0,0.0,74.0
767,4.8,0.0,74.0
768,8.3,0.0,74.1
769,20.8,0.0,74.1
770,12.5,0.0,74.1
771,8.3,0.0,74.1
772,16.7,0.0,74.1
773,4.2,0.0,74.1
774,12.5,0.0,74.2
775,12.5,0.0,74.2
776,8.7,0.0,74.2
777,16.7,0.0,74.2
778,16.7,0.0,74.2
779,8.3,0.0,74.3
780,12.5,0.0,74.3
781,13.6,0.0,74.3
782,12.0,0.0,74.3
783,9.7,0.0,74.3
784,6.9,0.0,74.3
785,2.8,0.0,74.3
786,36.4,0.0,74.3
787,9.4,0.0,74.3
788,0.0,0.0,74.3
789,8.3,0.0,74.4
790,8.3,0.0,74.3
791,16.7,0.0,74.3
792,12.5,0.0,74.3
793,8.3,0.0,74.4
794,4.2,0.0,74.4
795,12.5,0.0,74.4
796,12.5,0.0,74.5
797,12.5,0.0,74.5
798,8.3,0.0,74.5
799,8.7,0.0,75.4
800,4.2,0.0,75.0
801,15.2,0.0,74.6
802,18.4,0.0,74.6
803,18.5,0.0,74.6
804,8.3,0.0,74.6
805,16.7,0.0,74.7
806,8.3,0.0,74.7
807,12.5,0.0,74.8
808,8.3,0.0,74.7
809,12.5,0.0,74.8
810,16.7,0.0,74.7
811,12.5,0.0,74.8
812,12.5,0.0,74.7
813,12.5,0.0,74.7
814,0.0,0.0,74.7
815,8.3,0.0,74.8
816,8.3,0.0,74.8
817,4.2,0.0,74.8
818,8.3,0.0,74.8
819,8.7,0.0,74.9
820,19.0,0.0,74.8
821,16.7,0.0,74.9
822,10.0,0.0,74.9
823,16.7,0.0,74.9
824,20.8,0.0,74.9
825,8.3,0.0,74.9
826,16.7,0.0,74.9
827,13.0,0.0,74.9
828,16.0,0.0,75.0
829,8.7,0.0,75.0
830,16.7,0.0,75.0
831,24.0,0.0,75.2
832,57.7,0.0,75.4
833,16.7,0.0,75.8
834,22.6,0.0,76.2
835,18.8,0.0,76.6
836,15.6,0.0,77.0
837,12.5,0.0,77.4
838,12.5,0.0,77.8
839,15.6,0.0,78.1
840,16.1,0.0,78.2
841,33.3,0.0,78.2
842,31.2,0.0,78.2
843,13.9,0.0,78.2
844,22.2,0.0,78.1
845,21.2,0.0,78.2
846,12.5,0.0,78.4
847,12.5,0.0,78.8
848,12.5,0.0,79.1
849,12.5,0.0,79.2
850,8.7,0.0,79.5
851,16.7,0.0,79.8
852,20.0,0.0,79.8
853,8.3,0.0,79.8
854,16.7,0.0,79.8
855,13.0,0.0,79.9
856,17.4,0.0,79.9
857,9.5,0.0,79.9
858,16.0,0.0,80.0
859,10.0,0.0,80.0
860,5.0,0.0,80.5
861,0.0,0.0,80.8
862,16.7,0.0,81.1
863,12.5,0.0,81.4
864,16.7,0.0,81.6
865,12.5,0.0,81.9
866,12.5,0.0,82.1
867,12.5,0.0,82.5
868,8.7,0.0,82.7
869,12.5,0.0,83.0
870,8.0,0.0,83.3
871,6.2,0.0,83.5
872,4.2,0.0,83.7
873,13.0,0.0,84.0
874,24.0,0.0,84.2
875,13.0,7.0,84.5
876,12.0,7.0,84.8
877,13.0,7.0,85.1
878,15.4,7.0,85.3
879,8.3,7.0,85.6
880,4.8,7.0,85.9
881,14.8,7.0,86.2
882,16.7,7.0,86.4
883,9.5,7.0,86.7
884,14.3,7.0,86.9
885,13.0,7.0,87.2
886,16.7,7.0,87.4
887,19.2,7.0,87.4
888,16.0,7.0,87.5
889,12.5,7.0,87.7
890,8.7,7.0,87.9
891,16.7,7.0,88.2
892,16.7,7.0,88.5
893,12.0,7.0,88.7
894,8.3,7.0,89.0
895,8.7,7.0,89.3
896,15.4,7.0,89.6
897,12.5,4.0,89.8
898,12.5,4.0,90.1
899,8.7,4.0,90.4
900,12.5,4.0,90.7
901,12.5,4.0,91.1
902,22.7,4.0,91.3
903,16.7,4.0,91.5
904,20.0,4.0,91.7
905,8.3,4.0,91.9
906,8.3,4.0,92.2
907,12.5,4.0,92.5
908,12.5,4.0,92.7
909,12.5,4.0,92.8
910,12.5,4.0,92.8
911,12.5,4.0,92.7
912,12.5,4.0,92.9
913,12.5,4.0,93.2
914,12.5,4.0,93.4
915,16.7,4.0,93.4
916,12.5,4.0,93.6
917,24.0,4.0,93.7
918,13.0,4.0,93.8
919,12.5,3.0,93.8
920,16.7,3.0,93.8
921,17.4,3.0,94.0
922,13.6,3.0,94.1
923,20.0,3.0,94.1
924,20.8,3.0,94.2
925,8.3,3.0,94.3
926,4.2,3.0,94.3
927,8.3,3.0,94.5
928,8.3,3.0,94.6
929,8.3,3.0,94.8
930,8.3,3.0,94.9
931,4.2,3.0,95.1
932,0.0,3.0,95.2
933,8.3,3.0,95.4
934,8.3,3.0,95.5
935,0.0,3.0,95.6
936,0.0,3.0,95.8
937,8.7,3.0,96.0
938,16.1,3.0,96.1
