                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 1.2383,                0.69779,                 1.1551,                0.89433,                0.85785,                0.92467,                0.57557,                 1.3666,                0.65116,                 1.2563,              0.0081784,              0.0081784,              0.0081784
                     95,                 1.2404,                0.70307,                 1.1547,                0.86961,                0.87303,                0.92004,                 0.5722,                 1.3663,                0.66017,                 1.2557,              0.0081586,              0.0081586,              0.0081586
                     96,                  1.238,                0.69557,                 1.1536,                0.89625,                0.85086,                0.92136,                0.57271,                  1.371,                0.65087,                  1.256,              0.0081388,              0.0081388,              0.0081388
                     97,                 1.2295,                0.68816,                 1.1513,                0.89335,                 0.8584,                0.92123,                0.56989,                 1.3761,                0.65607,                 1.2634,               0.008119,               0.008119,               0.008119
                     98,                 1.2345,                0.69209,                  1.156,                0.88329,                0.86727,                0.92231,                0.57292,                 1.3707,                0.65236,                 1.2564,              0.0080992,              0.0080992,              0.0080992
                     99,                 1.2291,                0.68321,                 1.1535,                0.89832,                0.85514,                0.92206,                0.57277,                 1.3733,                0.65502,                 1.2616,              0.0080794,              0.0080794,              0.0080794
                    100,                 1.2279,                0.68572,                 1.1508,                0.89967,                0.86131,                0.92393,                0.57498,                  1.371,                0.65375,                 1.2593,              0.0080596,              0.0080596,              0.0080596
                    101,                 1.2263,                0.68412,                 1.1573,                0.90567,                0.86112,                0.92396,                0.57635,                 1.3685,                0.64473,                 1.2601,              0.0080398,              0.0080398,              0.0080398
                    102,                 1.2225,                 0.6926,                 1.1508,                0.88308,                0.87099,                0.92483,                0.57621,                 1.3694,                0.64232,                 1.2583,                0.00802,                0.00802,                0.00802
                    103,                 1.2172,                0.67926,                 1.1495,                0.90143,                0.85163,                0.92634,                0.57575,                 1.3714,                0.64078,                 1.2627,              0.0080002,              0.0080002,              0.0080002
                    104,                  1.218,                0.68423,                 1.1498,                0.89566,                 0.8638,                0.92796,                0.57966,                 1.3678,                0.63993,                 1.2572,              0.0079804,              0.0079804,              0.0079804
                    105,                 1.2177,                0.67344,                 1.1468,                0.88532,                0.86888,                0.92203,                0.57733,                 1.3705,                0.64288,                   1.26,              0.0079606,              0.0079606,              0.0079606
                    106,                 1.2229,                0.68228,                 1.1463,                0.89464,                0.86245,                0.92319,                0.57553,                 1.3672,                0.64386,                  1.259,              0.0079408,              0.0079408,              0.0079408
                    107,                 1.2147,                0.68265,                 1.1416,                0.89677,                0.85773,                 0.9222,                0.57653,                 1.3617,                 0.6433,                 1.2562,               0.007921,               0.007921,               0.007921
                    108,                 1.2246,                0.67843,                 1.1495,                0.90196,                0.85211,                0.92085,                0.57711,                 1.3626,                0.64462,                 1.2582,              0.0079012,              0.0079012,              0.0079012
                    109,                 1.2207,                 0.6803,                 1.1513,                0.89319,                0.86016,                0.92169,                0.57587,                 1.3667,                0.64762,                 1.2611,              0.0078814,              0.0078814,              0.0078814
                    110,                 1.2084,                0.67949,                 1.1415,                0.87538,                0.87938,                0.92301,                0.57393,                 1.3659,                0.64596,                 1.2626,              0.0078616,              0.0078616,              0.0078616
